title,año,recaudado,ratio,gano_oscar,tomato,audience
The Godfather,1972,690,0.074916284,1,98,98
"The Godfather, Part II",1974,266,0.136920742,1,98,97
Jaws,1975,1103,0.089862247,0,98,90
Rocky,1976,477,0.066870679,1,94,69
Star Wars: Episode IV - A New Hope,1977,1798,0.063333997,0,92,96
Annie Hall,1977,152,0.315316687,1,98,92
Midnight Express,1978,130,0.050662182,0,96,89
Apocalypse Now,1979,16,0.027097146,0,98,94
Kramer vs. Kramer,1979,367,0.173487298,1,88,89
Ordinary People,1980,177,0.261030058,1,89,88
Coal Miner's Daughter,1980,258,0.493506494,0,86,86
On Golden Pond,1981,372,0.411745299,0,93,87
Raiders of the Lost Ark,1981,9,0.221261097,0,95,96
The Verdict,1982,159,0.065430338,0,88,88
Tootsie,1982,523,0.56162465,0,90,81
Terms of Endearment,1983,298,0.743589744,1,78,83
Witness,1985,160,0.316501198,0,93,80
Hannah and Her Sisters,1986,94,0.420385302,0,91,90
Platoon,1986,323,0,1,88,93
Broadcast News,1987,113,0.32931284,0,98,79
Moonstruck,1987,179,0.461604278,0,93,81
Working Girl,1988,135,0.688467246,0,84,67
Dead Poets Society,1989,210,0.044224366,0,84,92
Field of Dreams,1989,141,0.193794806,0,87,86
Born on the Fourth of July,1989,153,0.088739496,0,85,76
Dances with Wolves,1990,378,0.096433629,1,83,87
Ghost,1990,448,0.431797651,0,74,80
Goodfellas,1990,96,0.213208084,0,96,97
Awakenings,1990,107,0.202768456,0,88,89
JFK,1991,145,0.129408536,0,84,88
The Silence of the Lambs,1991,270,0.385485628,1,96,95
Beauty and the Beast,1991,452,0.282311251,0,94,92
A Few Good Men,1992,295,0.138268222,0,83,89
The Crying Game,1992,131,0.10035653,0,94,78
Unforgiven,1992,211,0.083123137,1,96,93
The Fugitive,1993,386,0.094803371,0,96,89
The Piano,1993,84,0.403805497,0,92,86
Schindler's List,1993,201,0,1,97,97
The Shawshank Redemption,1994,58,0,0,91,98
Quiz Show,1994,51,0.072634232,0,96,87
Forrest Gump,1994,686,0.170407041,1,71,95
Pulp Fiction,1994,224,0.236797467,0,92,96
Braveheart,1995,151,0.173647617,1,78,85
The English Patient,1996,154,0.240528912,1,85,83
Fargo,1996,48,0.273870574,0,94,93
Good Will Hunting,1997,261,0.149602785,0,97,94
As Good as It Gets,1997,280,0.347808208,0,85,86
L.A. Confidential,1997,122,0.118056288,0,99,94
Titanic,1997,1249,0.374400384,1,89,69
The Thin Red Line,1998,67,0,0,80,80
Shakespeare in Love,1998,185,0.250914569,1,92,80
Saving Private Ryan,1998,400,0,0,93,95
Elizabeth,1998,55,0.433936707,0,82,86
The Insider,1999,49,0.077499129,0,96,90
The Green Mile,1999,234,0.088270859,0,78,94
American Beauty,1999,222,0.409112652,1,87,93
The Sixth Sense,1999,503,0.228807598,0,86,90
Gladiator,2000,303,0.151208361,1,77,87
Erin Brockovich,2000,203,0.61724721,0,84,81
Chocolat,2000,115,0.502315529,0,62,83
In the Bedroom,2001,55,0.373424789,0,93,81
The Lord of the Rings: The Fellowship of the Ring,2001,482,0.139390454,0,91,95
A Beautiful Mind,2001,262,0.187398221,1,74,93
Gosford Park,2001,63,0.503081808,0,86,78
Gangs of New York,2002,116,0.124212185,0,73,81
The Pianist,2002,48,0.242065728,0,95,96
The Lord of the Rings: The Two Towers,2002,509,0.037687523,0,95,95
Mystic River,2003,129,0.09767658,0,88,89
Master and Commander: The Far Side of the World,2003,135,0,0,85,80
The Lord of the Rings: The Return of the King,2003,543,0.035953385,1,93,86
Lost in Translation,2003,64,0.543451652,0,95,85
The Aviator,2004,144,0.176610009,0,20,41
Million Dollar Baby,2004,140,0.192854435,1,91,90
Crash,2004,76,0.239354718,1,74,88
Capote,2005,38,0.154352272,0,90,82
Munich,2005,64,0.081281932,0,78,83
Brokeback Mountain,2005,112,0.120105202,0,87,82
The Departed,2006,175,0.07646527,1,91,94
Babel,2006,45,0.258117087,0,69,77
Letters from Iwo Jima,2006,18,0,0,91,86
Little Miss Sunshine,2006,79,0.337674639,0,91,91
The Queen,2006,74,0.442864855,0,96,76
There Will Be Blood,2007,50,0,0,92,86
No Country for Old Men,2007,93,0.146033654,1,93,86
Michael Clayton,2007,61,0.150467775,0,91,69
Juno,2007,180,0.773376853,0,94,88
Atonement,2007,64,0.552214414,0,83,80
Slumdog Millionaire,2008,170,0.07043212,1,91,90
Frost/Nixon,2008,22,0.036102143,0,93,88
Milk,2008,38,0.032087003,0,93,89
The Reader,2008,41,0.329697987,0,63,79
The Curious Case of Benjamin Button,2008,153,0.505407911,0,72,80
The Hurt Locker,2008,19,0,1,97,84
Up,2009,339,0.069634385,0,98,90
Inglourious Basterds,2009,140,0.203927492,0,89,88
Avatar,2009,882,0.342014686,0,82,82
A Serious Man,2009,10,0.095913169,0,90,68
Up in the Air,2009,97,0.399515941,0,91,79
The Blind Side,2009,296,0.52481043,0,66,85
An Education,2009,14,0.694888954,0,94,80
The Social Network,2010,106,0.095471119,0,96,86
The King's Speech,2010,153,0.102741514,1,94,92
Inception,2010,323,0.177539114,0,87,91
The Fighter,2010,103,0.267333095,0,90,89
Toy Story 3,2010,457,0.239877543,0,98,89
True Grit,2010,188,0.410151243,0,96,85
127 Hours,2010,20,0.157240039,0,93,85
Winter's Bone,2010,7,0.599069268,0,94,76
Black Swan,2010,117,0.556593031,0,85,84
Moneyball,2011,82,0.037082729,0,94,86
The Descendants,2011,90,0.30895783,0,88,79
War Horse,2011,87,0.160729381,0,75,74
Midnight in Paris,2011,62,0.395042949,0,93,83
The Tree of Life,2011,14,0.269097222,0,85,60
The Help,2011,186,0.916946916,0,76,89
Lincoln,2012,198,0.123898917,0,89,81
Argo,2012,148,0.037240933,1,96,90
Zero Dark Thirty,2012,104,0.383171913,0,91,80
Life of Pi,2012,136,0.040122171,0,87,84
Beasts of the Southern Wild,2012,13,0.576779955,0,87,76
American Hustle,2013,160,0.250911245,0,92,74
12 Years a Slave,2013,60,0.175871204,1,95,90
The Wolf of Wall Street,2013,125,0.083430504,0,80,83
Captain Phillips,2013,114,0.068543279,0,93,89
Dallas Buyers Club,2013,29,0.154556567,0,93,91
Nebraska,2013,18,0.278574788,0,91,83
Her,2013,27,0.510122249,0,95,82
Philomena,2013,40,0.582766178,0,90,89
Gravity,2013,293,0.455106721,0,96,80
Selma,2014,55,0.101232917,0,99,86
Boyhood,2014,27,0.356966448,0,97,81
The Imitation Game,2014,97,0.172653752,0,89,91
Whiplash,2014,13,0.055892937,0,94,94
The Grand Budapest Hotel,2014,62,0.012564317,0,91,86
The Theory of Everything,2014,38,0.305842506,0,80,84
American Sniper,2014,372,0.292676893,0,72,84
Spotlight,2015,35,0.064130821,1,97,93
Bridge of Spies,2015,74,0.02946593,0,90,87
The Big Short,2015,62,0.152317881,0,88,88
The Martian,2015,235,0.280317119,0,91,91
The Revenant,2015,147,0,0,58,50
Brooklyn,2015,31,0.675811704,0,97,87
Room,2015,10,0.611193294,0,93,93
