title,year,gross,palabras mujer,palabras hombre,ganado,
MASH,1970,458,593,13376,0,
The Godfather,1972,690,962,11879,1,
The Godfather: Part II,1974,266,2346,14788,1,
Jaws,1975,1103,835,8457,0,
Rocky,1976,477,590,8233,1,
Star Wars: Episode IV - A New Hope,1977,1798,636,9406,0,
Annie Hall,1977,152,4142,8994,1,
Midnight Express,1978,130,241,4516,0,
Apocalypse Now,1979,16,564,20250,0,
Kramer vs. Kramer,1979,367,1878,8947,1,
Ordinary People,1980,177,5940,16816,1,
Coal Miner's Daughter,1980,258,4560,4680,0,
On Golden Pond,1981,372,2496,3566,0,
Raiders of the Lost Ark,1981,9,972,3421,0,
The Verdict,1982,159,1376,19654,0,
Tootsie,1982,523,1604,1252,0,
Terms of Endearment,1983,298,6032,2080,1,
Witness,1985,160,1849,3993,0,
Hannah and Her Sisters,1986,94,13660,18834,0,
Platoon,1986,323,0,18530,1,
Broadcast News,1987,113,9556,19462,0,
Moonstruck,1987,179,8632,10068,0,
Hope and Glory,1987,22,3234,4463,0,
Working Girl,1988,135,6495,2939,0,
Dead Poets Society,1989,210,1036,22390,0,
Field of Dreams,1989,141,3298,13720,0,
Born on the Fourth of July,1989,153,528,5422,0,
Dances with Wolves,1990,378,1498,14036,1,
Ghost,1990,448,8604,11322,0,
Goodfellas,1990,96,2996,11056,0,
Awakenings,1990,107,2417,9503,0,
JFK,1991,145,7544,50752,0,
The Silence of the Lambs,1991,270,4600,7333,1,
Beauty and the Beast,1991,452,2868,7291,0,
A Few Good Men,1992,295,5854,36484,0,
The Crying Game,1992,131,1520,13626,0,
Unforgiven,1992,211,725,7997,1,
The Fugitive,1993,386,1350,12890,0,
The Piano,1993,84,3820,5640,0,
Schindler's List,1993,201,0,5250,1,
The Shawshank Redemption,1994,58,0,13414,0,
Quiz Show,1994,51,951,12142,0,
Forrest Gump,1994,686,1549,7541,1,
Pulp Fiction,1994,224,2094,6749,0,
Sense and Sensibility,1995,85,23922,9614,0,
Braveheart,1995,151,1024,4873,1,
The English Patient,1996,154,4584,14474,1,
Jerry Maguire,1996,303,7690,12742,0,
Fargo,1996,48,4486,11894,0,
Good Will Hunting,1997,261,3352,19054,0,
As Good as It Gets,1997,280,8458,15860,0,
L.A. Confidential,1997,122,1120,8367,0,
Titanic,1997,1249,4683,7825,1,
The Thin Red Line,1998,67,0,18458,0,
Shakespeare in Love,1998,185,4664,13924,1,
Saving Private Ryan,1998,400,0,10048,0,
Elizabeth,1998,55,3524,4597,0,
The Insider,1999,49,1780,21188,0,
The Green Mile,1999,234,1095,11310,0,
American Beauty,1999,222,6842,9882,1,
The Sixth Sense,1999,503,2602,8770,0,
Gladiator,2000,303,2778,15594,1,
Erin Brockovich,2000,203,9126,5659,0,
Chocolat,2000,115,3254,3224,0,
In the Bedroom,2001,55,4682,7856,0,
The Lord of the Rings: The Fellowship of the Ring,2001,482,1212,7483,0,
A Beautiful Mind,2001,262,1496,6487,1,
Gosford Park,2001,63,5387,5321,0,
Gangs of New York,2002,116,1419,10005,0,
The Pianist,2002,48,2578,8072,0,
The Lord of the Rings: The Two Towers,2002,509,206,5260,0,
Mystic River,2003,129,1051,9709,0,
Master and Commander: The Far Side of the World,2003,135,0,8524,0,
The Lord of the Rings: The Return of the King,2003,543,145,3888,1,
Lost in Translation,2003,64,2220,1865,0,
The Aviator,2004,144,2608,12159,0,
Million Dollar Baby,2004,140,2035,8517,1,
Crash,2004,76,2552,8110,1,
Capote,2005,38,3472,19022,0,
Munich,2005,64,875,9890,0,
"Good Night, and Good Luck.",2005,42,1438,7213,0,
Brokeback Mountain,2005,112,411,3011,0,
The Departed,2006,175,2030,24518,1,
Babel,2006,45,4118,11836,0,
Letters from Iwo Jima,2006,18,0,8042,0,
Little Miss Sunshine,2006,79,2852,5594,0,
The Queen,2006,74,2461,3096,0,
There Will Be Blood,2007,50,0,8052,0,
No Country for Old Men,2007,93,1215,7105,1,
Michael Clayton,2007,61,1158,6538,0,
Juno,2007,180,17534,5138,0,
Atonement,2007,64,3379,2740,0,
Slumdog Millionaire,2008,170,1242,16392,1,
Frost/Nixon,2008,22,492,13136,0,
Milk,2008,38,357,10769,0,
The Reader,2008,41,4716,9588,0,
The Curious Case of Benjamin Button,2008,153,6542,6402,0,
The Hurt Locker,2008,19,0,5392,1,
Up,2009,339,998,13334,0,
Inglourious Basterds,2009,140,3240,12648,0,
Avatar,2009,882,5962,11470,0,
A Serious Man,2009,10,866,8163,0,
Up in the Air,2009,97,4787,7195,0,
The Blind Side,2009,296,7890,7144,0,
An Education,2009,14,14330,6292,0,
Precious,2009,55,17536,114,0,
The Social Network,2010,106,1990,18854,0,
The King's Speech,2010,153,1574,13746,1,
Inception,2010,323,2678,12406,0,
The Fighter,2010,103,3744,10261,0,
Toy Story 3,2010,457,2429,7697,0,
True Grit,2010,188,3200,4602,0,
127 Hours,2010,20,809,4336,0,
Winter's Bone,2010,7,3347,2240,0,
Black Swan,2010,117,2444,1947,0,
Moneyball,2011,82,511,13269,0,
The Descendants,2011,90,4601,10291,0,
War Horse,2011,87,1331,6950,0,
Midnight in Paris,2011,62,4415,6761,0,
The Tree of Life,2011,14,2325,6315,0,
The Help,2011,186,21540,1951,0,
Lincoln,2012,198,1716,12134,0,
Les Misérables,2012,162,3079,10977,0,
Argo,2012,148,345,8919,1,
Zero Dark Thirty,2012,104,5064,8152,0,
Life of Pi,2012,136,289,6914,0,
Beasts of the Southern Wild,2012,13,2325,1706,0,
American Hustle,2013,160,5507,16441,0,
12 Years a Slave,2013,60,3452,16176,1,
The Wolf of Wall Street,2013,125,1431,15721,0,
Captain Phillips,2013,114,487,6618,0,
Dallas Buyers Club,2013,29,1138,6225,0,
Nebraska,2013,18,2369,6135,0,
Her,2013,27,5216,5009,0,
Philomena,2013,40,5052,3617,0,
Gravity,2013,293,2580,3089,0,
Selma,2014,55,1363,12101,0,
Boyhood,2014,27,5926,10675,0,
The Imitation Game,2014,97,1836,8798,0,
Whiplash,2014,13,497,8395,0,
The Grand Budapest Hotel,2014,62,105,8252,0,
Birdman or (The Unexpected Virtue of Ignorance),2014,45,3023,6884,1,
The Theory of Everything,2014,38,1806,4099,0,
American Sniper,2014,372,1183,2859,0,
Spotlight,2015,35,902,13163,1,
Bridge of Spies,2015,74,272,8959,0,
The Big Short,2015,62,1449,8064,0,
The Martian,2015,235,2864,7353,0,
The Revenant,2015,147,0,5396,0,
Brooklyn,2015,31,6848,3285,0,
Room,2015,10,4958,3154,0,
